	Exp56_EPB41L5_1_AGCTAG_TCA	Exp56_EPB41L5_2_AGCTAG_AGT	Exp56_CCIN_1_CTGATC_TCA	Exp56_CCIN_2_CTGATC_AGT	Exp33_IDE_11_GCTCAT_TCA	Exp33_DCTN6_11_GCTGTA_TCA	Exp33_UBA2_11_TGAGTG_AGT	Exp33_ETS2_11_TGCCGA_AGT	Exp33_ETS2_10_TGCCGA_TCA	Exp33_CHMP3_11_TGTTGG_AGT	Exp33_CHMP3_10_TGTTGG_TCA	Exp31_TPGS2_24_CCACTC_AAC	Exp31_TPGS2_25_CCACTC_CAG	Exp31_CDK4_24_GCCATG_AAC	Exp31_UBA2_24_TGAGTG_AAC	Exp32_CDK4_24_GCCATG_TCA	Exp32_ITPA_11_GCCTAA_AGT	Exp32_ITPA_10_GCCTAA_TCA	Exp32_UBA2_24_TGAGTG_TCA	Exp92_EPB41L5_1_GTAGCC_TCA	Exp92_ETS2_1_CGAAAC_AGT	Exp92_UBA2_1_GCCTAA_AAC
18S_ribosomal_RNA::exon	4814	3817	3929	1550	24782	133931	53427	209401	199447	269332	226285	109288	84301	19608	16587	101041	111256	82631	33533	3815	763	1466
28S_ribosomal_RNA::exon	4534	3789	4387	1458	10279	52854	38841	68025	63394	213696	128997	76787	64779	6920	16755	20901	64228	38999	26813	1519	176	411
3_external_transcribed_spacer::exon	3	3	8	3	5	5	6	34	28	77	29	17	19	0	6	11	47	12	11	0	0	0
5.8S_ribosomal_RNA::exon	187	123	178	63	672	4081	7521	5042	6176	21394	12357	10527	10646	936	8672	2987	8978	4880	11731	83	11	51
5S::exon	207	222	203	141	947	4045	3963	8728	8932	14224	12758	7006	6059	1637	3297	4252	12382	6698	4065	123	56	44
5_external_transcribed_spacer::exon	244	266	209	85	369	2193	1155	3018	4289	8218	4269	3338	2857	371	808	1113	7346	3483	1308	57	20	29
7SK::exon	33	32	22	20	544	7641	7956	9636	7974	13148	11736	9747	7468	2998	4633	10663	9301	6357	7802	49	21	46
7SLRNA::exon	10	5	9	5	561	3966	1967	5116	4122	6193	5425	5325	4014	416	596	1568	4248	2791	962	19	2	2
A1BG::exon	0	0	0	0	0	1	0	4	0	3	0	1	0	0	0	0	3	0	0	0	0	0
A1BG::intron	0	0	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0
A1CF::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF::intron	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	44	8	0	0	0	0
A2M::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1::exon	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
A2ML1::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A2MP1::intron	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT::exon	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
A4GALT::intron	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
A4GNT::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GNT::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS::exon	0	0	0	0	0	4	1	4	4	17	4	4	6	0	0	2	4	3	0	0	0	0
AAAS::intron	0	0	0	0	0	4	0	3	1	1	0	1	0	0	1	1	2	1	1	0	0	0
AACS::exon	0	0	0	0	1	2	0	0	1	2	2	2	2	0	1	2	3	2	0	0	0	0
AACS::intron	0	1	0	0	0	3	5	2	12	10	9	6	6	2	2	3	5	4	4	0	0	0
AACSP1::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AACSP1::intron	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
AADAC::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT::exon	0	0	0	0	0	2	1	1	3	6	3	1	3	0	0	3	1	0	1	0	0	0
AADAT::intron	0	0	0	1	0	9	1	7	13	27	7	7	3	1	3	6	13	9	8	0	1	0
AAGAB::exon	0	0	0	1	3	7	3	8	12	23	10	16	5	1	2	2	10	4	0	0	0	0
AAGAB::intron	0	0	0	0	1	13	6	8	15	41	22	12	7	0	3	8	17	7	8	1	0	0
AAK1::exon	0	0	1	0	0	2	1	4	3	11	4	5	2	0	2	1	1	2	0	0	0	0
AAK1::intron	2	0	0	1	0	20	9	16	27	39	23	20	15	3	3	19	22	15	2	0	0	0
AAMDC::exon	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0
AAMDC::intron	0	1	0	0	0	8	2	9	14	11	13	5	3	2	2	6	7	3	5	0	0	0
AAMP::exon	0	1	1	0	1	5	1	9	9	17	10	10	9	4	1	9	9	2	0	0	0	0
AAMP::intron	0	0	0	0	0	1	0	1	1	3	1	3	2	1	2	2	1	1	1	0	0	0
AANAT::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AANAT::intron	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AAR2::exon	0	0	0	0	0	3	0	7	1	8	4	2	0	0	1	2	3	2	2	0	0	0
AAR2::intron	0	0	0	0	1	5	0	4	2	12	2	1	4	1	0	0	7	0	0	0	0	0
AARD::exon	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AARD::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS2::exon	0	0	0	0	0	10	1	2	2	9	6	3	7	0	1	2	7	1	2	0	0	0
AARS2::intron	0	0	0	0	0	7	2	6	6	13	5	3	1	0	3	5	6	3	1	1	0	0
AARS::exon	0	1	1	0	3	15	5	17	18	38	28	40	20	4	6	16	17	10	6	2	0	0
AARS::intron	0	1	1	0	0	18	8	15	15	30	21	11	4	0	5	20	14	6	11	0	0	2
AARSP1::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDH::exon	0	1	0	0	1	2	1	2	5	5	7	4	3	2	0	5	4	4	0	0	0	0
AASDH::intron	0	0	0	0	0	14	3	9	11	21	15	3	7	2	1	9	8	7	5	0	0	0
AASDHPPT::exon	1	0	1	2	1	14	2	12	7	32	8	10	7	2	0	4	4	8	2	0	0	0
AASDHPPT::intron	2	0	0	0	0	6	0	8	3	17	11	1	0	0	1	0	7	6	2	1	0	0
AASS::exon	0	0	0	0	0	4	2	3	3	11	4	5	10	0	0	6	6	2	1	1	0	0
