Dataset	Total read number
negatives/bedgraph/Exp92_EPB41L5_GTAGCC_TCA.+.wig	10280.0
negatives/bedgraph/Exp92_ETS2_CGAAAC_AGT.+.wig	2535.0
negatives/bedgraph/Exp92_UBA2_GCCTAA_AAC.+.wig	4373.0
negatives/bedgraph/Exp31_UBA2_TGAGTG_AAC.+.wig	136412.0
negatives/bedgraph/Exp33_IDE_GCTCAT_TCA.+.wig	88995.0
negatives/bedgraph/Exp33_DCTN6_GCTGTA_TCA.+.wig	524314.0
negatives/bedgraph/Exp32_CDK4_GCCATG_TCA.+.wig	378496.0
negatives/bedgraph/Exp33_ETS2_TGCCGA_TCA.+.wig	694928.0
negatives/bedgraph/Exp33_ETS2_TGCCGA_AGT.+.wig	620551.0
negatives/bedgraph/Exp31_TPGS2_CCACTC_CAG.+.wig	446601.0
negatives/bedgraph/Exp33_UBA2_TGAGTG_AGT.+.wig	233116.0
negatives/bedgraph/Exp33_CHMP3_TGTTGG_AGT.+.wig	1229129.0
negatives/bedgraph/Exp31_CDK4_GCCATG_AAC.+.wig	104773.0
negatives/bedgraph/Exp33_CHMP3_TGTTGG_TCA.+.wig	809956.0
negatives/bedgraph/Exp32_ITPA_GCCTAA_TCA.+.wig	442417.0
negatives/bedgraph/Exp56_EPB41L5_AGCTAG_AGT.+.wig	14170.0
negatives/bedgraph/Exp32_ITPA_GCCTAA_AGT.+.wig	690190.0
negatives/bedgraph/Exp56_EPB41L5_AGCTAG_TCA.+.wig	16552.0
negatives/bedgraph/Exp31_TPGS2_CCACTC_AAC.+.wig	536012.0
negatives/bedgraph/Exp56_CCIN_CTGATC_AGT.+.wig	12035.0
negatives/bedgraph/Exp32_UBA2_TGAGTG_TCA.+.wig	228071.0
negatives/bedgraph/Exp56_CCIN_CTGATC_TCA.+.wig	21361.0
Exp92_EPB41L5_GTAGCC_TCA	10280.0
Exp92_ETS2_CGAAAC_AGT	2535.0
Exp92_UBA2_GCCTAA_AAC	4373.0
Exp31_UBA2_TGAGTG_AAC	136412.0
Exp33_IDE_GCTCAT_TCA	88995.0
Exp33_DCTN6_GCTGTA_TCA	524314.0
Exp32_CDK4_GCCATG_TCA	378496.0
Exp33_ETS2_TGCCGA_TCA	694928.0
Exp33_ETS2_TGCCGA_AGT	620551.0
Exp31_TPGS2_CCACTC_CAG	446601.0
Exp33_UBA2_TGAGTG_AGT	233116.0
Exp33_CHMP3_TGTTGG_AGT	1229129.0
Exp31_CDK4_GCCATG_AAC	104773.0
Exp33_CHMP3_TGTTGG_TCA	809956.0
Exp32_ITPA_GCCTAA_TCA	442417.0
Exp56_EPB41L5_AGCTAG_AGT	14170.0
Exp32_ITPA_GCCTAA_AGT	690190.0
Exp56_EPB41L5_AGCTAG_TCA	16552.0
Exp31_TPGS2_CCACTC_AAC	536012.0
Exp56_CCIN_CTGATC_AGT	12035.0
Exp32_UBA2_TGAGTG_TCA	228071.0
Exp56_CCIN_CTGATC_TCA	21361.0
Exp92_EPB41L5_GTAGCC_TCA.+.wig	10280.0
Exp92_ETS2_CGAAAC_AGT.+.wig	2535.0
Exp92_UBA2_GCCTAA_AAC.+.wig	4373.0
Exp31_UBA2_TGAGTG_AAC.+.wig	136412.0
Exp33_IDE_GCTCAT_TCA.+.wig	88995.0
Exp33_DCTN6_GCTGTA_TCA.+.wig	524314.0
Exp32_CDK4_GCCATG_TCA.+.wig	378496.0
Exp33_ETS2_TGCCGA_TCA.+.wig	694928.0
Exp33_ETS2_TGCCGA_AGT.+.wig	620551.0
Exp31_TPGS2_CCACTC_CAG.+.wig	446601.0
Exp33_UBA2_TGAGTG_AGT.+.wig	233116.0
Exp33_CHMP3_TGTTGG_AGT.+.wig	1229129.0
Exp31_CDK4_GCCATG_AAC.+.wig	104773.0
Exp33_CHMP3_TGTTGG_TCA.+.wig	809956.0
Exp32_ITPA_GCCTAA_TCA.+.wig	442417.0
Exp56_EPB41L5_AGCTAG_AGT.+.wig	14170.0
Exp32_ITPA_GCCTAA_AGT.+.wig	690190.0
Exp56_EPB41L5_AGCTAG_TCA.+.wig	16552.0
Exp31_TPGS2_CCACTC_AAC.+.wig	536012.0
Exp56_CCIN_CTGATC_AGT.+.wig	12035.0
Exp32_UBA2_TGAGTG_TCA.+.wig	228071.0
Exp56_CCIN_CTGATC_TCA.+.wig	21361.0
